,처리용량,상위 허브,연결도로,처리시간,번호
동서울 우편집중국,900,중부권 광역우편물류센터,세종포천고속 남구리IC,12,1
의정부 우편집중국,300,중부권 광역우편물류센터,세종포천고속 민락IC,12,2
부천 우편집중국,250,중부권 광역우편물류센터,경인고속 부천IC,12,3
중부권 광역우편물류센터,192,0,통영대전고속 남대전IC,12,4
부산 우편집중국,250,중부권 광역우편물류센터,중앙고속 초정IC,12,5
대구 우편집중국,250,중부권 광역우편물류센터,경부고속 북대구IC,12,6
성남 우편집중국,225,중부권 광역우편물류센터,용인서울고속 서분당IC,12,7
안양 우편집중국,225,중부권 광역우편물류센터,수도권제1순환고속 평촌IC,12,8
고양 우편집중국,225,중부권 광역우편물류센터,수도권제1순환고속 일산IC,12,9
대전 우편집중국,125,중부권 광역우편물류센터,호남고속 계룡IC,12,10
창원 우편집중국,125,중부권 광역우편물류센터,남해제1고속지선 서마산IC,12,11
광주 우편집중국,125,중부권 광역우편물류센터,호남고속 광산IC,12,12
수원 우편집중국,75,중부권 광역우편물류센터,용인서울고속 흥덕IC,12,13
원주 우편집중국,75,중부권 광역우편물류센터,중앙고속 남원주IC,12,14
강릉 우편집중국,50,중부권 광역우편물류센터,동해고속 강릉IC,12,15
청주 우편집중국,75,중부권 광역우편물류센터,중부고속 서청주IC,12,16
천안 우편집중국,50,중부권 광역우편물류센터,경부고속 천안IC,12,17
울산 우편집중국,75,중부권 광역우편물류센터,울산고속 울산IC,12,18
안동 우편집중국,50,중부권 광역우편물류센터,중앙고속 서안동IC,12,19
포항 우편집중국,80,중부권 광역우편물류센터,대구포항고속 포항IC,12,20
진주 우편집중국,75,중부권 광역우편물류센터,남해고속 문산IC,12,21
순천 집중과,50,중부권 광역우편물류센터,순천완주고속 동순천IC,12,22
영암 우편집중국,50,중부권 광역우편물류센터,남해고속 서영암IC,12,23
전주 우편집중국,75,중부권 광역우편물류센터,호남고속 익산IC,12,24
서울 종로구,0,동서울 우편집중국,경부고속 한남IC,0,25
서울 중구,0,동서울 우편집중국,경부고속 한남IC,0,26
서울 용산구,0,동서울 우편집중국,경부고속 한남IC,0,27
서울 성동구,0,동서울 우편집중국,경부고속 한남IC,0,28
서울 광진구,0,동서울 우편집중국,세종포천고속 남구리IC,0,29
서울 동대문구,0,동서울 우편집중국,경부고속 한남IC,0,30
서울 중랑구,0,의정부 우편집중국,세종포천고속 중랑IC,0,31
서울 성북구,0,동서울 우편집중국,세종포천고속 중랑IC,0,32
서울 강북구,0,의정부 우편집중국,수도권제1순환고속 의정부IC,0,33
서울 도봉구,0,의정부 우편집중국,수도권제1순환고속 의정부IC,0,34
서울 노원구,0,의정부 우편집중국,수도권제1순환고속 의정부IC,0,35
서울 은평구,0,고양 우편집중국,수도권제1순환고속 통일로IC,0,36
서울 서대문구,0,고양 우편집중국,서울문산고속 흥도IC,0,37
서울 마포구,0,고양 우편집중국,서울문산고속 흥도IC,0,38
서울 양천구,0,부천 우편집중국,경인고속 신월IC,0,39
서울 강서구,0,부천 우편집중국,경인고속 신월IC,0,40
서울 구로구,0,안양 우편집중국,경인고속 신월IC,0,41
서울 금천구,0,안양 우편집중국,제2경인고속 석수IC,0,42
서울 영등포구,0,부천 우편집중국,경인고속 신월IC,0,43
서울 동작구,0,안양 우편집중국,경부고속 한남IC,0,44
서울 관악구,0,안양 우편집중국,제2경인고속 석수IC,0,45
서울 서초구,0,동서울 우편집중국,경부고속 서초IC,0,46
서울 강남구,0,동서울 우편집중국,경부고속 잠원IC,0,47
서울 송파구,0,동서울 우편집중국,수도권제1순환고속도로 송파IC,0,48
서울 강동구,0,동서울 우편집중국,수도권제1순환고속도로 서하남IC,0,49
부산 중구,0,부산 우편집중국,남해제2고속지선 사상IC,0,50
부산 서구,0,부산 우편집중국,남해제2고속지선 사상IC,0,51
부산 동구,0,부산 우편집중국,중앙고속 삼락IC,0,52
부산 영도구,0,부산 우편집중국,남해제2고속지선 사상IC,0,53
부산 부산진구,0,부산 우편집중국,남해제2고속지선 사상IC,0,54
부산 동래구,0,부산 우편집중국,경부고속 구서IC,0,55
부산 남구,0,부산 우편집중국,중앙고속 삼락IC,0,56
부산 북구,0,부산 우편집중국,중앙고속 삼락IC,0,57
부산 해운대구,0,부산 우편집중국,동해고속 동부산IC,0,58
부산 사하구,0,부산 우편집중국,남해제2고속지선 사상IC,0,59
부산 금정구,0,부산 우편집중국,경부고속 구서IC,0,60
부산 강서구,0,부산 우편집중국,남해고속 덕천IC,0,61
부산 연제구,0,부산 우편집중국,경부고속 구서IC,0,62
부산 수영구,0,부산 우편집중국,경부고속 구서IC,0,63
부산 사상구,0,부산 우편집중국,남해고속도로제2지선 사상IC,0,64
부산 기장군,0,울산 우편집중국,동해고속(부산-울산) 기장IC,0,65
대구 중구,0,대구 우편집중국,경부고속 북대구IC,0,66
대구 동구,0,대구 우편집중국,중앙고속(부산-대구) 동대구IC,0,67
대구 서구,0,대구 우편집중국,중앙고속 서대구IC,0,68
대구 남구,0,대구 우편집중국,중앙고속 서대구IC,0,69
대구 북구,0,대구 우편집중국,경부고속 북대구IC,0,70
대구 수성구,0,대구 우편집중국,중앙고속(부산-대구) 동대구IC,0,71
대구 달서구,0,대구 우편집중국,중부내륙고속지선 남대구IC,0,72
대구 달성군,0,대구 우편집중국,중부내륙고속지선 화원옥포IC,0,73
인천 중구,0,부천 우편집중국,제2경인고속 능해IC,0,74
인천 동구,0,부천 우편집중국,수도권제2순환고속(인천-김포) 남청라IC,0,75
인천 미추홀구,0,부천 우편집중국,제2경인고속 문학IC,0,76
인천 연수구,0,부천 우편집중국,제2경인고속(송도-연수) 송도IC,0,77
인천 남동구,0,부천 우편집중국,제2경인고속 문학IC,0,78
인천 부평구,0,부천 우편집중국,경인고속 부평IC,0,79
인천 계양구,0,부천 우편집중국,수도권제1순환고속도로 계양IC,0,80
인천 서구,0,부천 우편집중국,인천국제공항고속 청라IC,0,81
인천 강화군,0,부천 우편집중국,수도권제2순환고속(인천-김포) 서김포.통진IC,0,82
인천 옹진군,0,부천 우편집중국,제2경인고속 능해IC,0,83
광주 동구,0,광주 우편집중국,호남고속 동광주IC,0,84
광주 서구,0,광주 우편집중국,무안광주고속 운수IC,0,85
광주 남구,0,광주 우편집중국,무안광주고속 운수IC,0,86
광주 북구,0,광주 우편집중국,호남고속 용봉IC,0,87
광주 광산구,0,광주 우편집중국,통영대전고속 판암IC,0,88
대전 동구,0,대전 우편집중국,통영대전고속 판암IC,0,89
대전 중구,0,대전 우편집중국,통영대전고속 판암IC,0,90
대전 서구,0,대전 우편집중국,호남고속지선 유성IC,0,91
대전 유성구,0,대전 우편집중국,호남고속지선 유성IC,0,92
대전 대덕구,0,대전 우편집중국,경부고속 대전IC,0,93
울산 중구,0,울산 우편집중국,울산고속 울산IC,0,94
울산 남구,0,울산 우편집중국,울산고속 울산IC,0,95
울산 동구,0,울산 우편집중국,울산고속 울산IC,0,96
울산 북구,0,울산 우편집중국,울산고속 울산IC,0,97
울산 울주군,0,울산 우편집중국,동해고속 문수IC,0,98
경기 수원시 장안구,0,수원 우편집중국,영동고속 북수원IC,0,99
경기 수원시 권선구,0,수원 우편집중국,영동고속 북수원IC,0,100
경기 수원시 팔달구,0,수원 우편집중국,영동고속 동수원IC,0,101
경기 수원시 영통구,0,수원 우편집중국,용인서울고속 흥덕IC,0,102
경기 성남시 수정구,0,성남 우편집중국,수도권제1순환고속 성남IC,0,103
경기 성남시 중원구,0,성남 우편집중국,수도권제1순환고속 성남IC,0,104
경기 성남시 분당구,0,성남 우편집중국,경부고속 판교IC,0,105
경기 의정부시,0,의정부 우편집중국,수도권제1순환고속 호원IC,0,106
경기 안양시 만안구,0,안양 우편집중국,수도권제1순환고속 산본IC,0,107
경기 안양시 동안구,0,안양 우편집중국,수도권제1순환고속 산본IC,0,108
경기 부천시,0,부천 우편집중국,수도권제1순환고속 중동IC,0,109
경기 광명시,0,안양 우편집중국,서해안고속 금천IC,0,110
경기 평택시,0,수원 우편집중국,경부고속 안성IC,0,111
경기 동두천시,0,의정부 우편집중국,세종포천고속 선단IC,0,112
경기 안산시 상록구,0,안양 우편집중국,서해안고속 매송IC,0,113
경기 안산시 단원구,0,안양 우편집중국,영동고속 서안산IC,0,114
경기 고양시 덕양구,0,고양 우편집중국,수도권제1순환고속 일산IC,0,115
경기 고양시 일산동구,0,고양 우편집중국,수도권제1순환고속 일산IC,0,116
경기 고양시 일산서구,0,고양 우편집중국,수도권제1순환고속 일산IC,0,117
경기 과천시,0,안양 우편집중국,제2경인고속 북의왕IC,0,118
경기 구리시,0,의정부 우편집중국,수도권제1순환고속도로 남양주IC,0,119
경기 남양주시,0,동서울 우편집중국,수도권제1순환고속도로 남양주IC,0,120
경기 오산시,0,수원 우편집중국,경부고속 오산IC,0,121
경기 시흥시,0,부천 우편집중국,수도권제1순환고속 도리IC,0,122
경기 군포시,0,안양 우편집중국,수도권제1순환고속 산본IC,0,123
경기 의왕시,0,안양 우편집중국,영동고속 북수원IC,0,124
경기 하남시,0,동서울 우편집중국,중부고속 하남IC,0,125
경기 용인시 처인구,0,성남 우편집중국,영동고속 용인IC,0,126
경기 용인시 기흥구,0,성남 우편집중국,경부고속 수원신갈IC,0,127
경기 용인시 수지구,0,성남 우편집중국,영동고속 동수원IC,0,128
경기 파주시,0,고양 우편집중국,서울문산고속 금촌IC,0,129
경기 이천시,0,성남 우편집중국,영동고속 이천IC,0,130
경기 안성시,0,수원 우편집중국,평택제천고속 남안성IC,0,131
경기 김포시,0,고양 우편집중국,수도권제1순환고속 김포IC,0,132
경기 화성시,0,수원 우편집중국,수도권제2순환고속 화성IC,0,133
경기 광주시,0,성남 우편집중국,중부고속 광주IC,0,134
경기 양주시,0,의정부 우편집중국,세종포천고속 소흘IC,0,135
경기 포천시,0,의정부 우편집중국,세종포천고속 포천IC,0,136
경기 여주시,0,원주 우편집중국,중부내륙고속 여주IC,0,137
경기 연천군,0,의정부 우편집중국,세종포천고속 신북IC,0,138
경기 가평군,0,동서울 우편집중국,서울양양고속 설악IC,0,139
경기 양평군,0,동서울 우편집중국,중부내륙고속 남양평IC,0,140
강원 춘천시,0,원주 우편집중국,중앙고속 춘천IC,0,141
강원 원주시,0,원주 우편집중국,중앙고속 남원주IC,0,142
강원 강릉시,0,강릉 우편집중국,동해고속 강릉IC,0,143
강원 동해시,0,강릉 우편집중국,동해고속 동해IC,0,144
강원 태백시,0,원주 우편집중국,동해고속 근덕IC,0,145
강원 속초시,0,강릉 우편집중국,동해고속 속초IC,0,146
강원 삼척시,0,강릉 우편집중국,동해고속 삼척IC,0,147
강원 홍천군,0,원주 우편집중국,중앙고속 홍천IC,0,148
강원 횡성군,0,원주 우편집중국,중앙고속 횡성IC,0,149
강원 영월군,0,원주 우편집중국,중앙고속 제천IC,0,150
강원 평창군,0,원주 우편집중국,영동고속 둔내IC,0,151
강원 정선군,0,원주 우편집중국,영동고속 진부IC,0,152
강원 철원군,0,의정부 우편집중국,세종포천고속 신북IC,0,153
강원 화천군,0,원주 우편집중국,중앙고속 춘천IC,0,154
강원 양구군,0,원주 우편집중국,중앙고속 춘천IC,0,155
강원 인제군,0,원주 우편집중국,서울양양고속 인제IC,0,156
강원 고성군,0,강릉 우편집중국,동해고속 속초IC,0,157
강원 양양군,0,강릉 우편집중국,동해고속 하조대IC,0,158
충북 청주시 상당구,0,청주 우편집중국,당진영덕고속 문의IC,0,159
충북 청주시 흥덕구,0,청주 우편집중국,경부고속 청주IC,0,160
충북 청주시 청원구,0,청주 우편집중국,중부고속 서청주IC,0,161
충북 청주시 서원구,0,청주 우편집중국,중부고속 서청주IC,0,162
충북 충주시,0,청주 우편집중국,중부내륙고속 청주IC,0,163
충북 제천시,0,원주 우편집중국,중앙고속 제천IC,0,164
충북 보은군,0,청주 우편집중국,당진영덕고속 보은IC,0,165
충북 옥천군,0,천안 우편집중국,경부고속 옥천IC,0,166
충북 영동군,0,천안 우편집중국,경부고속 영동IC,0,167
충북 증평군,0,청주 우편집중국,중부고속 증평IC,0,168
충북 진천군,0,청주 우편집중국,중부고속 진천IC,0,169
충북 괴산군,0,청주 우편집중국,중부내륙고속 괴산IC,0,170
충북 음성군,0,청주 우편집중국,평택제천고속 음성IC,0,171
충북 단양군,0,원주 우편집중국,중앙고속 단양IC,0,172
충남 천안시 동남구,0,천안 우편집중국,경부고속 천안IC,0,173
충남 천안시 서북구,0,천안 우편집중국,경부고속 천안IC,0,174
충남 공주시,0,대전 우편집중국,당진영덕고속 공주IC,0,175
충남 보령시,0,대전 우편집중국,서해안고속 대천IC,0,176
충남 아산시,0,천안 우편집중국,논산천안고속 남풍세IC,0,177
충남 서산시,0,천안 우편집중국,서해안고속 서산IC,0,178
충남 논산시,0,대전 우편집중국,논산천안고속 서논산IC,0,179
충남 계룡시,0,대전 우편집중국,호남고속지선 계룡IC,0,180
충남 금산군,0,천안 우편집중국,통영대전고속 금산IC,0,181
충남 부여군,0,대전 우편집중국,서천공주고속 부여IC,0,182
충남 서천군,0,대전 우편집중국,서해안고속 서천IC,0,183
충남 청양군,0,대전 우편집중국,서천공주고속 청양IC,0,184
충남 홍성군,0,천안 우편집중국,서해안고속 홍성IC,0,185
충남 예산군,0,천안 우편집중국,당진영덕고속 예산수덕사IC,0,186
충남 태안군,0,천안 우편집중국,서해안고속 서산IC,0,187
충남 당진시,0,천안 우편집중국,서해안고속 당진IC,0,188
전북 전주시 완산구,0,전주 우편집중국,호남고속 서전주IC,0,189
전북 전주시 덕진구,0,전주 우편집중국,순천완주고속 동전주IC,0,190
전북 군산시,0,전주 우편집중국,서해안고속 군산IC,0,191
전북 익산시,0,전주 우편집중국,호남고속 삼례IC,0,192
전북 정읍시,0,전주 우편집중국,호남고속 정읍IC,0,193
전북 남원시,0,전주 우편집중국,광주대구고속 남원IC,0,194
전북 김제시,0,전주 우편집중국,서해안고속 서김제IC,0,195
전북 완주군,0,전주 우편집중국,새만금포항고속 완주IC,0,196
전북 진안군,0,전주 우편집중국,새만금포항고속 진안IC,0,197
전북 무주군,0,천안 우편집중국,통영대전고속 무주IC,0,198
전북 장수군,0,전주 우편집중국,새만금포항고속 장수IC,0,199
전북 임실군,0,전주 우편집중국,순천완주고속 임실IC,0,200
전북 순창군,0,전주 우편집중국,광주대구고속 순창IC,0,201
전북 고창군,0,전주 우편집중국,서해안고속 고창IC,0,202
전북 부안군,0,전주 우편집중국,서해안고속 부안IC,0,203
전남 목포시,0,영암 우편집중국,서해안고속 일로IC,0,204
전남 여수시,0,순천 집중과,순천완주고속 동순천IC,0,205
전남 순천시,0,순천 집중과,남해고속 순천IC,0,206
전남 나주시,0,광주 우편집중국,무안광주고속 나주IC,0,207
전남 광양시,0,순천 집중과,남해고속 동광양IC,0,208
전남 담양군,0,광주 우편집중국,광주대구고속 담양IC,0,209
전남 곡성군,0,광주 우편집중국,호남고속 곡성IC,0,210
전남 구례군,0,광주 우편집중국,순천완주고속 구례화엄사IC,0,211
전남 고흥군,0,순천 집중과,남해고속 고흥IC,0,212
전남 보성군,0,순천 집중과,남해고속 보성IC,0,213
전남 화순군,0,광주 우편집중국,호남고속 동광주IC,0,214
전남 장흥군,0,영암 우편집중국,남해고속 장흥IC,0,215
전남 강진군,0,영암 우편집중국,남해고속 강진무위사IC,0,216
전남 해남군,0,영암 우편집중국,남해고속 강진무위사IC,0,217
전남 영암군,0,영암 우편집중국,남해고속 강진무위사IC,0,218
전남 무안군,0,영암 우편집중국,서해안고속 무안IC,0,219
전남 함평군,0,광주 우편집중국,서해안고속 함평IC,0,220
전남 영광군,0,광주 우편집중국,서해안고속 영광IC,0,221
전남 장성군,0,광주 우편집중국,호남고속 장성IC,0,222
전남 완도군,0,영암 우편집중국,남해고속 강진무위사IC,0,223
전남 진도군,0,영암 우편집중국,남해고속 서영암IC,0,224
전남 신안군,0,영암 우편집중국,서해안고속 일로IC,0,225
경북 포항시 남구,0,포항 우편집중국,새만금포항고속 포항IC,0,226
경북 포항시 북구,0,포항 우편집중국,새만금포항고속 포항IC,0,227
경북 경주시,0,포항 우편집중국,경부고속 경주IC,0,228
경북 김천시,0,대구 우편집중국,경부고속 김천IC,0,229
경북 안동시,0,안동 우편집중국,중앙고속 서안동IC,0,230
경북 구미시,0,대구 우편집중국,경부고속 구미IC,0,231
경북 영주시,0,안동 우편집중국,중앙고속 영주IC,0,232
경북 영천시,0,포항 우편집중국,경부고속 영천IC,0,233
경북 상주시,0,안동 우편집중국,중부내륙고속 상주IC,0,234
경북 문경시,0,안동 우편집중국,중부내륙고속 점촌함창IC,0,235
경북 경산시,0,대구 우편집중국,중앙고속 수성IC,0,236
경북 군위군,0,대구 우편집중국,중앙고속 군위IC,0,237
경북 의성군,0,안동 우편집중국,중앙고속 의성IC,0,238
경북 청송군,0,안동 우편집중국,당진영덕고속 청송IC,0,239
경북 영양군,0,안동 우편집중국,당진영덕고속 청송IC,0,240
경북 영덕군,0,포항 우편집중국,새만금포항고속 포항IC,0,241
경북 청도군,0,대구 우편집중국,중앙고속 청도IC,0,242
경북 고령군,0,대구 우편집중국,광주대구고속 고령IC,0,243
경북 성주군,0,대구 우편집중국,중부내륙고속 성주IC,0,244
경북 칠곡군,0,대구 우편집중국,경부고속 왜관IC,0,245
경북 예천군,0,안동 우편집중국,중앙고속 예천IC,0,246
경북 봉화군,0,안동 우편집중국,중앙고속 영주IC,0,247
경북 울진군,0,포항 우편집중국,새만금포항고속 포항IC,0,248
경남 창원시 의창구,0,창원 우편집중국,남해제1고속지선 동마산IC,0,249
경남 창원시 성산구,0,창원 우편집중국,남해제3고속지선 대청IC,0,250
경남 창원시 마산합포구,0,창원 우편집중국,남해제1고속지선 서마산IC,0,251
경남 창원시 마산회원구,0,창원 우편집중국,남해제1고속지선 서마산IC,0,252
경남 창원시 진해구,0,창원 우편집중국,남해제3고속지선 진해IC,0,253
경남 진주시,0,진주 우편집중국,남해고속 진주IC,0,254
경남 통영시,0,창원 우편집중국,통영대전고속 통영IC,0,255
경남 사천시,0,진주 우편집중국,남해고속 사천IC,0,256
경남 김해시,0,부산 우편집중국,남해고속 동김해IC,0,257
경남 밀양시,0,부산 우편집중국,중앙고속 밀양IC,0,258
경남 거제시,0,창원 우편집중국,통영대전고속 통영IC,0,259
경남 양산시,0,울산 우편집중국,중앙고속지선 남양산IC,0,260
경남 의령군,0,진주 우편집중국,남해고속 군복IC,0,261
경남 함안군,0,창원 우편집중국,남해고속 함안IC,0,262
경남 창녕군,0,창원 우편집중국,중부내륙고속 창녕IC,0,263
경남 고성군,0,창원 우편집중국,통영대전고속 고성IC,0,264
경남 남해군,0,진주 우편집중국,남해고속 하동IC,0,265
경남 하동군,0,진주 우편집중국,남해고속 하동IC,0,266
경남 산청군,0,진주 우편집중국,통영대전고속 산청IC,0,267
경남 함양군,0,진주 우편집중국,광주대구고속 함양IC,0,268
경남 거창군,0,진주 우편집중국,광주대구고속 거창IC,0,269
경남 합천군,0,진주 우편집중국,광주대구고속 고령IC,0,270
세종특별자치시,0,대전 우편집중국,당진영덕고속 남세종IC,0,271
